File Name,Sentence,Mistake Text,Error Message,replacements,Character/ Start Position in Text,Character/ End Position in Text,Error Type,Error Subtype
1 - Coraline Conventions (1).docx,always has a antagonist usually being supernatural or otherworldly,a,"Confusion between ""a""/""an"" or omission of an indefinite article",an,250,250,Syntax,12
1 - Coraline Conventions (1).docx,In corallines case the antagonist is the other mother,corallines,A word was not spelled correctly,N/A,310,319,Syntax,31
1 - Coraline Conventions (1).docx,N/A,friendly however,Missing comma,"friendly, however",382,397,Style,49
1 - Coraline Conventions (1).docx,to feast on corallines soul,on,No preposition needed,,459,460,Other,32
1 - Coraline Conventions (1).docx,to feast on corallines soul,corallines,A word was not spelled correctly,N/A,462,471,Syntax,31
1 - Coraline Conventions (1).docx,"she shapeshits into her true form,",shapeshits,A word was not spelled correctly,N/A,549,558,Syntax,31
1 - Coraline Conventions (1).docx,coraline destroys her world and his other mother is a major spider like creature,coraline,A proper or common noun is not capitalized,Coraline,686,693,Spelling,2
1 - Coraline Conventions (1).docx,her world and he other mother,he,Wrong pronoun used or omission of a pronoun,his,718,719,Grammar,5
1 - Coraline Conventions (1).docx,are displayed in coraline,coraline,A proper or common noun is not capitalized,Coraline,967,974,Spelling,2
3 - Coraline Scene Analysis-other mother transformation.docx,View the film 'Coraline:43 - 5834 minutes,43 ¨C 58,"Missing or superfluous space before or after period, comma and other punctuation marks",43¨C58,119,125,Grammar,40
3 - Coraline Scene Analysis-other mother transformation.docx,The transformation of the beldam,beldam,A word was not spelled correctly,bedroom,872,877,Syntax,31
3 - Coraline Scene Analysis-other mother transformation.docx,N/A,is demonstrates,Errors in forming or using the infinitive form,demonstrating,1023,1037,Grammar,38
3 - Coraline Scene Analysis-other mother transformation.docx,N/A,beldam thus,Missing comma,"bottom, thus",1071,1081,Style,49
3 - Coraline Scene Analysis-other mother transformation.docx,the supernatural factor of coraline,coraline,A proper or common noun is not capitalized,Coraline,1121,1128,Spelling,2
3 - Coraline Scene Analysis-other mother transformation.docx,The beldams transformation also involves,beldams,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",bedroom,1135,1141,Grammar,43
3 - Coraline Scene Analysis-other mother transformation.docx,the beldam is stronger and scarier,beldam,A word was not spelled correctly,bedroom,1309,1314,Syntax,31
3 - Coraline Scene Analysis-other mother transformation.docx,the large capacity in truly frightening,the large,Wrong usage of comparative and superlative structures,the largest,1351,1359,Punctuation,50
3 - Coraline Scene Analysis-other mother transformation.docx,,.,A word was not spelled correctly,. ,1403,1403,Grammar,40
3 - Coraline Scene Analysis-other mother transformation.docx,The horror genre also commonl displays,commonl,A word was not spelled correctly,commonly,1500,1506,Syntax,31
3 - Coraline Scene Analysis-other mother transformation.docx,the darg grey nature of the skin and the thin tight skin,darg,A word was not spelled correctly,dark,1660,1663,Syntax,31
3 - Coraline Scene Analysis-other mother transformation.docx,Pretty scary stuff jimbo,stuff jimbo,Missing comma,"stuff, Jimbo",1727,1737,Style,49
3 - Coraline Scene Analysis-other mother transformation.docx,,.,A word was not spelled correctly,. ,1738,1738,Grammar,40
3 - Coraline Scene Analysis-other mother transformation.docx,from kind and loving to evil and demonic,kind,"Confusion between ""a""/""an"" or omission of an indefinite article",a kind,1850,1853,Syntax,12
3 - Coraline Scene Analysis-other mother transformation.docx,lowers ones barriers and accepts the other mother,ones,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",one's,1942,1945,Grammar,43
3 - Coraline Scene Analysis-other mother transformation.docx,lowers and and accepts the other mother,and and,Accidental repetition of a word,and,1956,1962,Spelling,47
3 - Coraline Scene Analysis-other mother transformation.docx,on the beldam thus horrifying one instantly,beldam,A word was not spelled correctly,bottom,2132,2137,Syntax,31
elie speech.docx,"Good morning Mr Abboud, this speech will include",morning Mr,Missing comma,"morning, Mr",23,32,Style,49
elie speech.docx,upon horror unit,horror unit,Omission of the definite article,the horror unit,86,96,Syntax,13
elie speech.docx,N/A,written but,Missing comma,"written, but",699,709,Style,49
elie speech.docx,how this can evokes the negative emotions of fear and discomfort,evokes,Wrong verb tense or form,evoke,865,870,Syntax,15
elie speech.docx,the neagative emotions of fear and discomfort,neagative,A word was not spelled correctly,negative,876,884,Syntax,31
elie speech.docx,my ability to anaylse such texts,anaylse,A word was not spelled correctly,analyse,1015,1021,Syntax,31
elie speech.docx,N/A,how such,Missing comma,"how, such",1096,1103,Style,49
elie speech.docx,there was no world limit,world,Confusion between words which sound similar or have a similar spelling,word,1497,1501,Punctuation,46
elie speech.docx,in equally analysing the emotions of fear and discomfort in both of the texts,equally,"Wrong adverb used, adverb used instead of adjective or vice-versa",equating,1652,1658,Syntax,23
elie speech.docx,Frankenstein extrememly beneficial to my learning,extrememly,A word was not spelled correctly,extremely,1853,1862,Syntax,31
elie speech.docx,Use strong persuasive lanuage,lanuage,A word was not spelled correctly,language,2120,2126,Syntax,31
Elies english essay.docx,N/A,fiction which,Missing comma,"fiction, which",144,156,Style,49
Elies english essay.docx,the audiences understanding of the monster,audiences,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",audience's,916,924,Grammar,43
Elies english essay.docx,creation of life by God,by,Wrong preposition,with,1160,1161,Grammar,29
Elies english essay.docx,fear from playing God,from,Wrong preposition,of,1434,1437,Grammar,29
Elies english essay.docx,to defy Gods role and go against natural law,Gods,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",God's,1770,1773,Grammar,43
Elies english essay.docx,is present in the monster however,monster however,Missing comma,"monster, however",1906,1920,Style,49
Elies english essay.docx,a prediction for what would happen if humans held the secret to life,for,Wrong preposition,of,2090,2092,Grammar,29
Elies english essay.docx,"(hope for Lenore, raven, evil view of narrator on raven)",hope,The first word in a sentence is not capitalized,Hope,2263,2266,Spelling,45
Elies english essay.docx,N/A,its,Wrong pronoun used or omission of a pronoun,it,2624,2626,Grammar,5
Elies english essay.docx,the physical darkness and darkness of his soul due to his lost Lenore,darkness,Omission of the definite article,the darkness,2762,2769,Syntax,13
Elies english essay.docx,"""wondering fearing doubting",wondering,The first word in a sentence is not capitalized,Wondering,3045,3053,Spelling,45
Elies english essay.docx,(raven ravens ),raven,The first word in a sentence is not capitalized,Raven,3281,3285,Spelling,45
Elies english essay.docx,(Raven ravens ), ),"Missing or superfluous space before or after period, comma and other punctuation marks",),3302,3303,Grammar,40
Elies english essay.docx,the building of Frankenstein's monster,of,No preposition needed,,4350,4351,Other,32
Elies english essay.docx,Victors journey into the dangerous realm of science that could go wrong,Victors,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",Victor's,4629,4635,Grammar,43
Elies english essay.docx,Victor's journey to the dangerous realm of science that could go wrong,to,Wrong preposition,into,4645,4646,Grammar,29
Elies english essay.docx,demonstrates the great psychological effect of the narrator,the great psychological effect,Omission of the definite article,the greater psychological effect,5152,5181,Syntax,13
English Assignment.docx,N/A,(,"Missing or superfluous space before or after period, comma and other punctuation marks", (,411,411,Grammar,40
English Assignment.docx,the narrators mental state,narrators,"Wrong usage of two or more nouns in a row, either in possessive form or as modifiers of each other",narrator's,993,1001,Grammar,43
English Assignment.docx,N/A,supernatural which,Missing comma,"the supernatural, which",1831,1848,Style,49
English Assignment.docx,"uses, which entertain however evoke the emotions of discomfort and fear simultaneously",entertain however,Missing comma,"entertain, however",1850,1866,Style,49
English Assignment.docx,N/A,story bringing,Missing comma,"story, bringing",1973,1986,Style,49
English Assignment.docx,N/A,creation but,Missing comma,"creation, but",2498,2509,Style,49
English Assignment.docx,as demonic and therefore evil and demonic attributes,as,No preposition needed,,2816,2817,Other,32
English Assignment.docx,is of dark and supernatural workings,of,No preposition needed,,3028,3029,Other,32
English Assignment.docx,due to the psychological aspect of the text it proves,text it,Missing comma,"text, it",4124,4130,Style,49
English Assignment.docx,The phycological despair is,phycological,A word was not spelled correctly,psychological,4802,4813,Syntax,31
English Assignment.docx,entertained thoroughly howeverThe Raven does this more effectively,thoroughly however,Missing comma,"thoroughly, however",5327,5344,Style,49
English Assignment.docx,N/A,creation but,Missing comma,"creation, but",6135,6146,Style,49
English Assignment.docx,as demonic and therefore evil and demonic attributes,as,No preposition needed,,6453,6454,Other,32
